timestamp,site_id,actual_consumption,actual_pv,load_00,pv_00,battery_capacity_kwh,battery_power_kwh_per_interval,charge_efficiency,discharge_efficiency,battery_soc
2016-05-04T00:00:00+00:00,8,23.81900099851191,0.0,25.9671115628199,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T00:15:00+00:00,8,22.071956035494804,0.0,22.302292603815985,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T00:30:00+00:00,8,21.777599643729626,0.0,22.8329108357576,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T00:45:00+00:00,8,21.459376517497002,0.0,26.69117319404617,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T01:00:00+00:00,8,35.29253581482917,0.0,36.71956193681943,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T01:15:00+00:00,8,42.54324974603951,0.0,41.04082624841223,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T01:30:00+00:00,8,45.96255723740906,0.0,42.787335074392146,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T01:45:00+00:00,8,45.72866323962808,0.0,37.26266447790061,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T02:00:00+00:00,8,35.69031472261995,0.0,31.512481655953536,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T02:15:00+00:00,8,25.238276141509413,0.0,23.067566010998082,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T02:30:00+00:00,8,20.2946798754856,0.0,20.428469317749258,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T02:45:00+00:00,8,19.231814633868634,0.0,20.477477718693798,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T03:00:00+00:00,8,18.256460751965637,0.0,19.887356320311852,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T03:15:00+00:00,8,24.38225593194365,0.0,26.185346631913188,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T03:30:00+00:00,8,28.794419577158987,0.0,28.81091721625423,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T03:45:00+00:00,8,28.323449350334705,0.0,27.17134913011521,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T04:00:00+00:00,8,29.64248420856893,0.0,28.023196727381045,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T04:15:00+00:00,8,23.777631992101668,0.0,18.0903081339534,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T04:30:00+00:00,8,20.552440607734024,0.0,20.37733833838473,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T04:45:00+00:00,8,20.124430502951146,0.0,19.711904067711107,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T05:00:00+00:00,8,21.868293234705916,0.0,21.45111822118064,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T05:15:00+00:00,8,19.518215447478,0.0,18.674167743021584,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T05:30:00+00:00,8,19.874625348858533,0.0,19.66721428025644,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T05:45:00+00:00,8,20.141932774893938,0.0,14.155285483743667,-0.023682109736961984,400.0,100.0,0.95,0.95,62
2016-05-04T06:00:00+00:00,8,18.12917150147259,0.0,17.558179115536593,0.02536285167333675,400.0,100.0,0.95,0.95,62
2016-05-04T06:15:00+00:00,8,11.160085036978126,0.0,9.942405366960207,1.5935545693834745,400.0,100.0,0.95,0.95,62
2016-05-04T06:30:00+00:00,8,11.144173880666495,0.0,11.76612408747067,0.8683928308000264,400.0,100.0,0.95,0.95,62
2016-05-04T06:45:00+00:00,8,11.160085036978126,0.2589046163033067,12.432163969619706,1.2930041124091205,400.0,100.0,0.95,0.95,62
2016-05-04T07:00:00+00:00,8,11.196680696494875,2.18766185004007,12.358939660646671,6.491355663463393,400.0,100.0,0.95,0.95,62
2016-05-04T07:15:00+00:00,8,10.472723084315657,5.817179447648023,17.86501874123164,9.350185806978581,400.0,100.0,0.95,0.95,62
2016-05-04T07:30:00+00:00,8,18.033704563602804,10.723725480615645,32.80918011003892,22.414398196674767,400.0,100.0,0.95,0.95,62
2016-05-04T07:45:00+00:00,8,19.215903477557003,16.934101793693387,31.46469302346483,22.203970173145933,400.0,100.0,0.95,0.95,62
2016-05-04T08:00:00+00:00,8,19.25090802144259,23.724350137414262,31.805428795484406,32.6484622537595,400.0,100.0,0.95,0.95,62
2016-05-04T08:15:00+00:00,8,19.550037760101258,30.625671630287606,39.00981583812659,39.53558508855642,400.0,100.0,0.95,0.95,62
2016-05-04T08:30:00+00:00,8,30.395081902109087,38.03283038982892,59.245696486689866,45.981690840869376,400.0,100.0,0.95,0.95,62
2016-05-04T08:45:00+00:00,8,47.633228650130334,45.96437548640347,73.72653416077532,53.61129317610183,400.0,100.0,0.95,0.95,62
2016-05-04T09:00:00+00:00,8,129.0124287215993,53.69380324174445,142.3484905449959,59.0751473554583,400.0,100.0,0.95,0.95,62
2016-05-04T09:15:00+00:00,8,173.6527688695118,61.020686036006516,156.99477689393433,63.60180826541405,400.0,100.0,0.95,0.95,62
2016-05-04T09:30:00+00:00,8,156.8474055731669,67.87772057815371,139.42190159407969,67.83463149120338,400.0,100.0,0.95,0.95,62
2016-05-04T09:45:00+00:00,8,142.87900144718589,74.52844187427571,129.09021425876946,94.56185195131896,400.0,100.0,0.95,0.95,62
2016-05-04T10:00:00+00:00,8,130.20417432934045,80.81606712957148,117.96077501920517,86.48965194975176,400.0,100.0,0.95,0.95,62
2016-05-04T10:15:00+00:00,8,123.30668806824832,86.35689863945485,110.50797998987213,90.64553136147049,400.0,100.0,0.95,0.95,62
2016-05-04T10:30:00+00:00,8,105.92056756652893,90.81456983066174,83.48310333218286,92.65953125075598,400.0,100.0,0.95,0.95,62
2016-05-04T10:45:00+00:00,8,90.54720833823083,95.82811676057065,81.79449134677733,106.83587736676108,400.0,100.0,0.95,0.95,62
2016-05-04T11:00:00+00:00,8,79.49531916417182,99.72965346955772,69.26018247343453,106.16836354638764,400.0,100.0,0.95,0.95,62
2016-05-04T11:15:00+00:00,8,71.99639119450003,102.88077086847301,65.07581713524067,106.05420940290074,400.0,100.0,0.95,0.95,62
2016-05-04T11:30:00+00:00,8,64.99230018611998,106.28395494035853,59.505852689672764,107.90428021989692,400.0,100.0,0.95,0.95,62
2016-05-04T11:45:00+00:00,8,54.68505312744528,109.3117621205442,50.088391222283654,110.76040617540733,400.0,100.0,0.95,0.95,62
2016-05-04T12:00:00+00:00,8,58.26188106629997,112.67669948291248,49.49660006563292,112.69363643220554,400.0,100.0,0.95,0.95,62
2016-05-04T12:15:00+00:00,8,68.30977627709508,115.44077759937016,66.59775238917396,114.70791682060198,400.0,100.0,0.95,0.95,62
2016-05-04T12:30:00+00:00,8,70.41800448838622,116.6544140700585,63.176059720206105,115.59233615990894,400.0,100.0,0.95,0.95,62
